Ensembl Gene ID,Chromosome Name
ENSMODG00000029463,7
ENSMODG00000025428,7
ENSMODG00000025427,7
ENSMODG00000016811,7
ENSMODG00000016857,7
ENSMODG00000016876,7
ENSMODG00000016885,7
ENSMODG00000016891,7
ENSMODG00000016896,7
ENSMODG00000025425,7
ENSMODG00000025424,7
ENSMODG00000029103,7
ENSMODG00000016922,7
ENSMODG00000029179,7
ENSMODG00000028059,7
ENSMODG00000016934,7
ENSMODG00000025420,7
ENSMODG00000025419,7
ENSMODG00000016939,7
ENSMODG00000016940,7
ENSMODG00000016941,7
ENSMODG00000025416,7
ENSMODG00000016943,7
ENSMODG00000016949,7
ENSMODG00000029434,7
ENSMODG00000025415,7
ENSMODG00000016972,7
ENSMODG00000028623,7
ENSMODG00000029695,7
ENSMODG00000027828,7
ENSMODG00000016982,7
ENSMODG00000016988,7
ENSMODG00000016992,7
ENSMODG00000016995,7
ENSMODG00000016998,7
ENSMODG00000017001,7
ENSMODG00000027428,7
ENSMODG00000029554,7
ENSMODG00000017005,7
ENSMODG00000025402,7
ENSMODG00000017007,7
ENSMODG00000017010,7
ENSMODG00000011334,7
ENSMODG00000017014,7
ENSMODG00000017017,7
ENSMODG00000017030,7
ENSMODG00000025394,7
ENSMODG00000025393,7
ENSMODG00000025392,7
ENSMODG00000025391,7
ENSMODG00000025390,7
ENSMODG00000025389,7
ENSMODG00000025388,7
ENSMODG00000025387,7
ENSMODG00000025385,7
ENSMODG00000017061,7
ENSMODG00000017064,7
ENSMODG00000025384,7
ENSMODG00000017065,7
ENSMODG00000017084,7
ENSMODG00000017109,7
ENSMODG00000017134,7
ENSMODG00000017136,7
ENSMODG00000017140,7
ENSMODG00000017144,7
ENSMODG00000028256,7
ENSMODG00000017145,7
ENSMODG00000017147,7
ENSMODG00000027482,7
ENSMODG00000025381,7
ENSMODG00000017149,7
ENSMODG00000017157,7
ENSMODG00000017162,7
ENSMODG00000017168,7
ENSMODG00000017176,7
ENSMODG00000017180,7
ENSMODG00000025371,7
ENSMODG00000017191,7
ENSMODG00000017197,7
ENSMODG00000017202,7
ENSMODG00000017209,7
ENSMODG00000017212,7
ENSMODG00000017222,7
ENSMODG00000017228,7
ENSMODG00000017232,7
ENSMODG00000017234,7
ENSMODG00000017236,7
ENSMODG00000017240,7
ENSMODG00000017264,7
ENSMODG00000017270,7
ENSMODG00000017276,7
ENSMODG00000025364,7
ENSMODG00000017294,7
ENSMODG00000017297,7
ENSMODG00000017304,7
ENSMODG00000017308,7
ENSMODG00000017312,7
ENSMODG00000025362,7
ENSMODG00000017323,7
ENSMODG00000025360,7
ENSMODG00000017326,7
ENSMODG00000017328,7
ENSMODG00000017334,7
ENSMODG00000028154,7
ENSMODG00000017342,7
ENSMODG00000029120,7
ENSMODG00000017350,7
ENSMODG00000027381,7
ENSMODG00000025358,7
ENSMODG00000017371,7
ENSMODG00000017370,7
ENSMODG00000017375,7
ENSMODG00000017377,7
ENSMODG00000017399,7
ENSMODG00000017425,7
ENSMODG00000017437,7
ENSMODG00000017446,7
ENSMODG00000025349,7
ENSMODG00000017449,7
ENSMODG00000017452,7
ENSMODG00000017467,7
ENSMODG00000028754,7
ENSMODG00000017475,7
ENSMODG00000027686,7
ENSMODG00000025348,7
ENSMODG00000017497,7
ENSMODG00000017500,7
ENSMODG00000029313,7
ENSMODG00000014405,7
ENSMODG00000017503,7
ENSMODG00000017505,7
ENSMODG00000025344,7
ENSMODG00000017519,7
ENSMODG00000002698,7
ENSMODG00000028840,7
ENSMODG00000017526,7
ENSMODG00000028743,7
ENSMODG00000025343,7
ENSMODG00000028569,7
ENSMODG00000029341,7
ENSMODG00000029671,7
ENSMODG00000000005,7
ENSMODG00000000020,7
ENSMODG00000025479,7
ENSMODG00000000036,7
ENSMODG00000000044,7
ENSMODG00000000049,7
ENSMODG00000000060,7
ENSMODG00000025339,7
ENSMODG00000028380,7
ENSMODG00000000068,7
ENSMODG00000000074,7
ENSMODG00000000077,7
ENSMODG00000000082,7
ENSMODG00000000086,7
ENSMODG00000000090,7
ENSMODG00000000101,7
ENSMODG00000027528,7
ENSMODG00000029247,7
ENSMODG00000029666,7
ENSMODG00000000127,7
ENSMODG00000000134,7
ENSMODG00000000305,7
ENSMODG00000000326,7
ENSMODG00000000347,7
ENSMODG00000028848,7
ENSMODG00000000375,7
ENSMODG00000000444,7
ENSMODG00000000454,7
ENSMODG00000000479,7
ENSMODG00000025332,7
ENSMODG00000000525,7
ENSMODG00000000554,7
ENSMODG00000000565,7
ENSMODG00000000581,7
ENSMODG00000029329,7
ENSMODG00000000682,7
ENSMODG00000000700,7
ENSMODG00000025308,7
ENSMODG00000013412,7
ENSMODG00000000775,7
ENSMODG00000000805,7
ENSMODG00000025304,7
ENSMODG00000001051,7
ENSMODG00000000812,7
ENSMODG00000000840,7
ENSMODG00000000898,7
ENSMODG00000029369,7
ENSMODG00000029230,7
ENSMODG00000000935,7
ENSMODG00000000974,7
ENSMODG00000000978,7
ENSMODG00000001004,7
ENSMODG00000001020,7
ENSMODG00000025279,7
ENSMODG00000025278,7
ENSMODG00000001070,7
ENSMODG00000001080,7
ENSMODG00000001182,7
ENSMODG00000001197,7
ENSMODG00000001209,7
ENSMODG00000001241,7
ENSMODG00000029779,7
ENSMODG00000001246,7
ENSMODG00000001259,7
ENSMODG00000001318,7
ENSMODG00000001332,7
ENSMODG00000025266,7
ENSMODG00000001337,7
ENSMODG00000001347,7
ENSMODG00000001358,7
ENSMODG00000001387,7
ENSMODG00000001409,7
ENSMODG00000027810,7
ENSMODG00000001458,7
ENSMODG00000028312,7
ENSMODG00000027920,7
ENSMODG00000001472,7
ENSMODG00000001482,7
ENSMODG00000001489,7
ENSMODG00000029325,7
ENSMODG00000001691,7
ENSMODG00000001704,7
ENSMODG00000001724,7
ENSMODG00000028421,7
ENSMODG00000001737,7
ENSMODG00000001750,7
ENSMODG00000001759,7
ENSMODG00000025242,7
ENSMODG00000029094,7
ENSMODG00000002044,7
ENSMODG00000002051,7
ENSMODG00000025216,7
ENSMODG00000025200,7
ENSMODG00000025181,7
ENSMODG00000025179,7
ENSMODG00000025177,7
ENSMODG00000010524,7
ENSMODG00000025480,7
ENSMODG00000002250,7
ENSMODG00000025169,7
ENSMODG00000002266,7
ENSMODG00000002293,7
ENSMODG00000002332,7
ENSMODG00000002351,7
ENSMODG00000002368,7
ENSMODG00000002385,7
ENSMODG00000002401,7
ENSMODG00000002416,7
ENSMODG00000002434,7
ENSMODG00000002443,7
ENSMODG00000002447,7
ENSMODG00000002460,7
ENSMODG00000002479,7
ENSMODG00000025164,7
ENSMODG00000002497,7
ENSMODG00000002508,7
ENSMODG00000002538,7
ENSMODG00000025161,7
ENSMODG00000002546,7
ENSMODG00000002588,7
ENSMODG00000002607,7
ENSMODG00000002618,7
ENSMODG00000002633,7
ENSMODG00000025156,7
ENSMODG00000002634,7
ENSMODG00000025154,7
ENSMODG00000002650,7
ENSMODG00000002703,7
ENSMODG00000002764,7
ENSMODG00000025481,7
ENSMODG00000002745,7
ENSMODG00000025482,7
ENSMODG00000027503,7
ENSMODG00000002829,7
ENSMODG00000002865,7
ENSMODG00000002914,7
ENSMODG00000002935,7
ENSMODG00000002959,7
ENSMODG00000028674,7
ENSMODG00000025141,7
ENSMODG00000025139,7
ENSMODG00000003104,7
ENSMODG00000003128,7
ENSMODG00000003144,7
ENSMODG00000003159,7
ENSMODG00000003192,7
ENSMODG00000003579,7
ENSMODG00000027706,7
ENSMODG00000003633,7
ENSMODG00000028739,7
ENSMODG00000028004,7
ENSMODG00000003710,7
ENSMODG00000003720,7
ENSMODG00000003737,7
ENSMODG00000003789,7
ENSMODG00000003808,7
ENSMODG00000003846,7
ENSMODG00000003875,7
ENSMODG00000003894,7
ENSMODG00000003915,7
ENSMODG00000003945,7
ENSMODG00000003968,7
ENSMODG00000003988,7
ENSMODG00000004015,7
ENSMODG00000004096,7
ENSMODG00000004191,7
ENSMODG00000004240,7
ENSMODG00000004267,7
ENSMODG00000028718,7
ENSMODG00000004279,7
ENSMODG00000029047,7
ENSMODG00000004481,7
ENSMODG00000027661,7
ENSMODG00000004501,7
ENSMODG00000027827,7
ENSMODG00000004518,7
ENSMODG00000004534,7
ENSMODG00000004559,7
ENSMODG00000004562,7
ENSMODG00000004632,7
ENSMODG00000004766,7
ENSMODG00000004775,7
ENSMODG00000028172,7
ENSMODG00000004818,7
ENSMODG00000004825,7
ENSMODG00000028184,7
ENSMODG00000025071,7
ENSMODG00000025070,7
ENSMODG00000004856,7
ENSMODG00000004876,7
ENSMODG00000004886,7
ENSMODG00000004893,7
ENSMODG00000005012,7
ENSMODG00000005056,7
ENSMODG00000005067,7
ENSMODG00000025065,7
ENSMODG00000025064,7
ENSMODG00000029144,7
ENSMODG00000028641,7
ENSMODG00000005529,7
ENSMODG00000005556,7
ENSMODG00000028507,7
ENSMODG00000005786,7
ENSMODG00000005811,7
ENSMODG00000005824,7
ENSMODG00000005960,7
ENSMODG00000006008,7
ENSMODG00000025058,7
ENSMODG00000025057,7
ENSMODG00000006087,7
ENSMODG00000006183,7
ENSMODG00000006272,7
ENSMODG00000025056,7
ENSMODG00000006282,7
ENSMODG00000006309,7
ENSMODG00000007346,7
ENSMODG00000007425,7
ENSMODG00000007432,7
ENSMODG00000007637,7
ENSMODG00000007718,7
ENSMODG00000025049,7
ENSMODG00000007733,7
ENSMODG00000007746,7
ENSMODG00000007786,7
ENSMODG00000007796,7
ENSMODG00000007817,7
ENSMODG00000007873,7
ENSMODG00000025045,7
ENSMODG00000008269,7
ENSMODG00000008358,7
ENSMODG00000008378,7
ENSMODG00000008474,7
ENSMODG00000008520,7
ENSMODG00000029467,7
ENSMODG00000008543,7
ENSMODG00000008566,7
ENSMODG00000008576,7
ENSMODG00000028760,7
ENSMODG00000008835,7
ENSMODG00000008985,7
ENSMODG00000025001,7
ENSMODG00000009257,7
ENSMODG00000009315,7
ENSMODG00000009321,7
ENSMODG00000009336,7
ENSMODG00000009373,7
ENSMODG00000009395,7
ENSMODG00000009399,7
ENSMODG00000027345,7
ENSMODG00000009418,7
ENSMODG00000027480,7
ENSMODG00000028343,7
ENSMODG00000029512,7
ENSMODG00000028496,7
ENSMODG00000029275,7
ENSMODG00000009458,7
ENSMODG00000028124,7
ENSMODG00000024993,7
ENSMODG00000024992,7
ENSMODG00000009776,7
ENSMODG00000028229,7
ENSMODG00000028572,7
ENSMODG00000028992,7
ENSMODG00000009929,7
ENSMODG00000009931,7
ENSMODG00000024990,7
ENSMODG00000024989,7
ENSMODG00000000001,7
ENSMODG00000000011,7
ENSMODG00000028497,7
ENSMODG00000000015,7
ENSMODG00000024988,7
ENSMODG00000000124,7
ENSMODG00000029497,7
ENSMODG00000028141,7
ENSMODG00000000173,7
ENSMODG00000000178,7
ENSMODG00000000189,7
ENSMODG00000000208,7
ENSMODG00000000851,7
ENSMODG00000024980,7
ENSMODG00000000863,7
ENSMODG00000000870,7
ENSMODG00000000964,7
ENSMODG00000000970,7
ENSMODG00000027479,7
ENSMODG00000028779,7
ENSMODG00000000990,7
ENSMODG00000001099,7
ENSMODG00000001135,7
ENSMODG00000001141,7
ENSMODG00000001143,7
ENSMODG00000001150,7
ENSMODG00000001157,7
ENSMODG00000001380,7
ENSMODG00000001434,7
ENSMODG00000001481,7
ENSMODG00000028367,7
ENSMODG00000001507,7
ENSMODG00000001512,7
ENSMODG00000001515,7
ENSMODG00000001525,7
ENSMODG00000029631,7
ENSMODG00000001574,7
ENSMODG00000012120,5
ENSMODG00000012128,5
ENSMODG00000012257,5
ENSMODG00000012263,5
ENSMODG00000012271,5
ENSMODG00000012274,5
ENSMODG00000012300,5
ENSMODG00000012307,5
ENSMODG00000012316,5
ENSMODG00000012343,5
ENSMODG00000001586,7
ENSMODG00000012350,5
ENSMODG00000028253,5
ENSMODG00000012353,5
ENSMODG00000001592,7
ENSMODG00000029792,5
ENSMODG00000012373,5
ENSMODG00000028554,7
ENSMODG00000012395,5
ENSMODG00000024965,7
ENSMODG00000029019,7
ENSMODG00000006144,7
ENSMODG00000029280,5
ENSMODG00000028573,5
ENSMODG00000027561,5
ENSMODG00000018868,5
ENSMODG00000029806,7
ENSMODG00000029591,7
ENSMODG00000028778,7
ENSMODG00000006268,7
ENSMODG00000027942,7
ENSMODG00000006279,7
ENSMODG00000006291,7
ENSMODG00000018877,5
ENSMODG00000024922,7
ENSMODG00000018887,5
ENSMODG00000006316,7
ENSMODG00000028138,5
ENSMODG00000028066,5
ENSMODG00000029217,5
ENSMODG00000018890,5
ENSMODG00000024918,7
ENSMODG00000006363,7
ENSMODG00000018895,5
ENSMODG00000024915,7
ENSMODG00000018898,5
ENSMODG00000027976,7
ENSMODG00000006409,7
ENSMODG00000006412,7
ENSMODG00000018899,5
ENSMODG00000025411,5
ENSMODG00000024914,7
ENSMODG00000028702,7
ENSMODG00000018901,5
ENSMODG00000024964,7
ENSMODG00000018903,5
ENSMODG00000014727,7
ENSMODG00000014735,7
ENSMODG00000014739,7
ENSMODG00000029383,5
ENSMODG00000018918,5
ENSMODG00000014743,7
ENSMODG00000014748,7
ENSMODG00000018913,5
ENSMODG00000014756,7
ENSMODG00000014761,7
ENSMODG00000014772,7
ENSMODG00000014799,7
ENSMODG00000018925,5
ENSMODG00000018927,5
ENSMODG00000025400,5
ENSMODG00000018931,5
ENSMODG00000014805,7
ENSMODG00000014823,7
ENSMODG00000018934,5
ENSMODG00000025397,5
ENSMODG00000018936,5
ENSMODG00000014844,7
ENSMODG00000018937,5
ENSMODG00000014848,7
ENSMODG00000014852,7
ENSMODG00000018939,5
ENSMODG00000024949,7
ENSMODG00000018940,5
ENSMODG00000014856,7
ENSMODG00000018942,5
ENSMODG00000025483,7
ENSMODG00000018943,5
ENSMODG00000029632,5
ENSMODG00000014875,7
ENSMODG00000029786,5
ENSMODG00000018944,5
ENSMODG00000018947,5
ENSMODG00000018949,5
ENSMODG00000018951,5
ENSMODG00000018953,5
